Virgin Mobile + promocja 50% ekstra
voice;0.13;^(0048)?\d{9};;60;
smses;0.08;^(0048)?\d{9};;
smses;0.82;^(71)\d{2,3};;
smses;1.64;^(72)\d{2,3};;
smses;0.45;^(0048){0}\d{6,}?;;
mmses;0.17;^(0048)?\d{9};;
mmses;2.66;^(0048){0}\d{6,}?;;
